Accession No,CIK,Company Name,Ticker,Description,Form Type,Filing Type,Filing URL,Filed At
0001085037-06-002090,1172178,LIBERTY STAR GOLD CORP (LBSR) (CIK 0001172178),LBSR,EXHIBIT 10.1,8-K,EX-10,https://www.sec.gov/Archives/edgar/data/1172178/000108503706002090/ex10-1.htm,2006-10-27
0001085037-06-002002,1172178,LIBERTY STAR GOLD CORP (LBSR) (CIK 0001172178),LBSR,EXHIBIT 10.1,8-K,EX-10,https://www.sec.gov/Archives/edgar/data/1172178/000108503706002002/ex10-1.htm,2006-10-16
0000314606-09-000004,314606,GEOKINETICS INC (CIK 0000314606),,"SIXTH AMENDMENT TO SECOND AMENDED AND RESTATED REVOLVING CREDIT AND SECURITY AGREEMENT DATED FEBRUARY 11, 2009, BY AND AMONG PNC BANK, NATIONAL ASSOCIATION, GEOKINETICS INC. AND ITS PRINCIPAL SUBSIDIARIES.",8-K,EX-10.1,https://www.sec.gov/Archives/edgar/data/314606/000031460609000004/ex10-1.htm,2009-02-18
0001130464-09-000099,1130464,BLACK HILLS CORP /SD/ (BKH) (CIK 0001130464),BKH,DIRECTORS STOCK BASED COMPENSATION PLAN,10-K,EX-10.23,https://www.sec.gov/Archives/edgar/data/1130464/000113046409000099/ex10-23_directorcompplan.htm,2009-03-02
0001130464-09-000099,1130464,BLACK HILLS CORP /SD/ (BKH) (CIK 0001130464),BKH,PEP RESTATED,10-K,EX-10.4,https://www.sec.gov/Archives/edgar/data/1130464/000113046409000099/ex10-4_peprestated.htm,2009-03-02
0001130464-09-000099,1130464,BLACK HILLS CORP /SD/ (BKH) (CIK 0001130464),BKH,RESTORATION PLAN,10-K,EX-10.5,https://www.sec.gov/Archives/edgar/data/1130464/000113046409000099/ex10-5_restorationplan.htm,2009-03-02
0001580695-20-000415,1372183,"Monaker Group, Inc. (MKGI) (CIK 0001372183)",NXTP,FOURTH AMENDMENT TO AMENDED AND RESTATED PROMISSORY NOTE,8-K,EX-10.5,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000415/ex10-5.htm,2020-11-19
0001221585-04-000018,915354,OSULLIVAN INDUSTRIES HOLDINGS INC (CIK 0000915354),,"EXHIBIT 10.2, PARKER ANNOUNCEMENT",8-K,EX-10.2,https://www.sec.gov/Archives/edgar/data/915354/000122158504000018/ex10-2parker.pdf,2004-05-18
0000840715-06-000062,840715,CLEARONE COMMUNICATIONS INC (CLRO) (CIK 0000840715),CLRO,"CLEARONE COMMUNICATIONS, INC. FORM 10-Q FOR THE PERIOD ENDED 09/30/2006",10-Q,10-Q,https://www.sec.gov/Archives/edgar/data/840715/000084071506000062/form10-q09302006.pdf,2006-11-13
0001085037-05-001324,1176193,"BARNABUS ENERGY, INC. (CIK 0001176193)",,EXHIBIT 10.4,10KSB,EX-10,https://www.sec.gov/Archives/edgar/data/1176193/000108503705001324/ex10-4f10ksb053105.htm,2005-09-12
0001085037-05-001538,1158780,PLURISTEM LIFE SYSTEMS INC (PSTI) (CIK 0001158780),PLUR,EXHIBIT 10.1 - CONSULTING AGREEMENT,8-K,EX-10,https://www.sec.gov/Archives/edgar/data/1158780/000108503705001538/ex10-1f8k102005.htm,2005-11-01
0001387131-20-009670,1372183,"Monaker Group, Inc. (MKGI) (CIK 0001372183)",NXTP,THIRD AMENDMENT TO MONACO TRUST NOTE,8-K,EX-10.5,https://www.sec.gov/Archives/edgar/data/1372183/000138713120009670/ex10-5.htm,2020-11-06
0001493152-23-002051,1382574,"TRxADE HEALTH, INC (MEDS) (CIK 0001382574)",MEDS,,8-K,EX-10.4,https://www.sec.gov/Archives/edgar/data/1382574/000149315223002051/ex10-4.htm,2023-01-20
0000931731-12-000009,1373792,"CLEAN TRANSPORTATION GROUP, INC. (CIK 0001373792)",,DEFINITIVE AGREEMENT REFERENCE,8-K/A,EX-10.1,https://www.sec.gov/Archives/edgar/data/1373792/000093173112000009/ex10-1defagree.htm,2012-01-13
0001185185-12-001159,1392448,"Midas Medici Group Holdings, Inc. (CIK 0001392448)",,,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1392448/000118518512001159/ex10-3.htm,2012-05-17
0001185185-12-001847,1392448,"Midas Medici Group Holdings, Inc. (CIK 0001392448)",,,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1392448/000118518512001847/ex10-1.htm,2012-08-16
0001185185-12-001159,1392448,"Midas Medici Group Holdings, Inc. (CIK 0001392448)",,,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1392448/000118518512001159/ex10-2.htm,2012-05-17
0000802851-11-000024,802851,LOGIC DEVICES Inc (CIK 0000802851),,,S-1,S-1,https://www.sec.gov/Archives/edgar/data/802851/000080285111000024/ess-1_032411.pdf,2011-03-24
